,X-axis,Y-Axis,Z-Axis
604,-43,-61,1168
605,-16,-99,1228
606,11,-119,1294
607,6,-150,1359
608,26,-142,1387
609,13,-125,1381
610,1,-118,1354
611,4,-70,1322
612,58,-18,1277
613,84,30,1210
614,171,64,1104
615,175,51,1005
616,183,15,887
617,157,-9,827
618,80,-39,784
619,-19,-93,780
620,-86,-112,814
621,-126,-125,888
622,-108,-143,901
623,-92,-146,938
624,-28,-151,938
625,29,-128,934
626,61,-112,881
627,26,-97,892
628,6,-80,928
629,2,-24,982
630,42,-12,1053
631,40,-1,1074
632,103,34,1070
633,92,-11,1103
634,123,-20,1066
635,70,-50,1012
636,41,-75,968
637,43,-51,980
638,43,-91,1041
639,29,-85,1141
640,75,-48,1152
641,70,-87,1212
642,56,-103,1230
643,11,-136,1252
644,-22,-170,1235
645,-74,-127,1196
646,-110,-95,1120
647,-132,-80,1075
648,-108,13,976
649,-52,39,939
650,66,52,888
651,138,15,834
652,239,30,771
653,235,-27,781
654,201,-45,798
655,142,-50,845
656,40,-57,896
657,-27,-68,980
658,-81,-90,1017
659,-117,-110,1092
660,-108,-134,1147
661,-99,-134,1133
662,-61,-135,1072
663,-30,-114,1051
664,7,-79,997
665,50,-49,1018
666,77,-9,1027
667,126,0,1039
668,112,24,1102
669,136,11,1104
670,153,-42,1118
671,133,-36,1169
672,81,-54,1170
673,51,-82,1141
674,-38,-116,1162
675,-88,-89,1187
676,-101,-51,1173
677,-46,-70,1155
678,15,-47,1069
679,46,-36,1038
680,87,-57,970
681,115,-41,874
682,116,-68,836
683,115,-28,790
684,59,-74,788
685,-11,-74,866
686,-68,-59,876
687,-50,-90,991
688,-20,-82,1031
689,11,-96,1028
690,36,-111,1076
691,78,-113,1102
692,74,-109,1111
693,48,-106,1140
694,21,-49,1106
695,-2,-49,1176
696,4,4,1125
697,70,-6,1115
698,77,-15,1142
699,121,-20,1114
700,82,-95,1092
701,86,-77,1098
702,11,-131,1097
703,-51,-134,1086
704,-91,-101,1127
705,-102,-42,1133
706,-87,-48,1131
707,-50,-28,1093
708,2,-21,1057
709,83,-51,976
710,92,-67,930
711,111,-66,857
712,76,-95,820
713,90,-112,796
714,55,-115,871
715,75,-109,923
716,78,-82,912
717,49,-103,950
718,-13,-119,976
719,-32,-73,957
720,-42,-96,937
721,-72,-109,920
722,-62,-24,914
723,-79,-22,943
724,-25,0,951
725,0,-17,982
726,58,-55,1048
727,121,-50,1092
728,138,-88,1105
729,117,-125,1126
730,95,-125,1140
731,68,-115,1174
732,38,-112,1199
733,-18,-104,1191
734,-4,-44,1143
735,-40,-57,1143
736,-14,23,1045
737,-38,21,1013
738,-36,16,936
739,-19,-2,880
740,-11,-31,837
741,29,-25,829
742,48,-1,779
743,94,-69,783
744,117,-80,865
745,108,-119,895
746,110,-182,912
747,97,-239,941
748,2,-229,972
749,-115,-239,1005
750,-167,-177,1055
751,-166,-127,1042
752,-134,-52,1046
753,-72,51,1035
754,40,124,1067
755,100,149,1050
756,161,159,978
757,144,100,980
758,104,3,1008
759,64,-110,1005
760,19,-221,1018
761,-32,-218,1020
762,4,-194,979
763,27,-164,913
764,54,-145,924
765,96,-85,906
766,105,-47,942
767,71,2,916
768,1,-6,905
769,-64,-12,1032
770,-65,-8,1121
771,-101,-37,1172
772,-72,-50,1181
773,-12,-82,1172
774,76,-82,1185
775,112,-81,1094
776,74,-69,1010
777,32,-85,959
778,11,-87,940
779,79,-46,919
780,77,-70,953
781,89,-46,967
782,89,-50,1026
783,151,-35,1034
784,78,-82,1086
785,-3,-92,1036
786,-129,-111,1025
787,-200,-83,986
788,-202,-49,977
789,-117,-22,916
790,5,9,846
791,122,21,837
792,243,6,813
793,292,-31,836
794,294,-73,849
795,218,-119,898
796,98,-166,1024
797,-20,-177,1128
798,-110,-204,1201
799,-162,-137,1246
800,-179,-112,1249
801,-177,-78,1261
802,-115,-46,1203
803,-59,-22,1153
804,10,13,1147
805,98,8,1113
806,155,-3,1031
807,202,8,1037
808,206,-15,1035
809,182,-32,1018
810,129,-42,1000
811,84,-56,940
812,-10,-119,892
813,-103,-174,932
814,-154,-198,932
815,-151,-205,947
816,-122,-162,920
817,-73,-86,936
818,4,-40,963
819,81,-6,968
820,122,28,962
821,108,9,932
822,101,0,886
823,51,-44,949
824,33,-61,935
825,-2,-50,968
826,27,-60,1002
827,76,-48,1035
828,98,-54,1101
829,143,-95,1144
830,147,-78,1156
831,100,-125,1212
832,40,-148,1225
833,-6,-163,1294
834,-35,-139,1291
835,-36,-74,1267
836,-17,-15,1228
837,-27,9,1157
838,0,33,1104
839,5,36,1010
840,-27,0,951
841,-62,-72,921
842,-19,-77,903
843,-10,-132,921
844,81,-109,903
845,121,-111,899
846,174,-96,846
847,197,-85,799
848,117,-91,815
849,87,-77,789
850,-20,-71,818
851,-84,-67,825
852,-105,-92,934
853,-115,-88,1034
854,-32,-52,1151
855,16,-20,1187
856,39,-33,1216
857,61,-26,1319
858,66,-46,1348
859,39,-44,1382
860,-5,-81,1351
861,10,-87,1325
862,26,-61,1238
863,43,-37,1180
864,84,17,1101
865,137,18,1029
866,132,-5,943
867,93,-16,953
868,34,-55,918
869,-4,-85,923
870,-94,-154,923
871,-92,-133,950
872,-107,-105,954
873,-42,-77,977
874,30,-80,922
875,97,-63,875
876,141,-56,874
877,125,-77,843
878,82,-97,858
879,20,-126,913
880,-19,-104,936
881,-23,-84,1014
882,-41,-65,1064
883,0,-28,1095
884,26,-7,1087
885,43,-20,1085
886,42,-36,1049
887,39,-38,1066
888,20,-60,1177
889,53,-76,1204
890,28,-81,1263
891,48,-63,1283
892,69,-117,1320
893,137,-48,1231
894,79,-80,1139
895,30,-73,1031
