,X-axis,Y-Axis,Z-Axis
650,61,-109,1025
651,10,-149,1014
652,-62,-133,985
653,-81,-71,940
654,-75,-78,918
655,-84,-91,891
656,-54,-94,857
657,-66,-75,881
658,-50,-49,878
659,-12,-23,855
660,44,-19,840
661,102,-24,859
662,122,-20,913
663,101,1,945
664,73,-36,967
665,44,-76,1000
666,46,-107,1040
667,0,-102,1126
668,-13,-68,1177
669,-34,-129,1224
670,11,-108,1234
671,77,-71,1272
672,127,-52,1260
673,103,-42,1228
674,73,-88,1148
675,-2,-101,1169
676,-77,-112,1180
677,-118,-126,1099
678,-142,-127,965
679,-129,-110,887
680,-94,-42,800
681,-37,-41,712
682,80,-24,583
683,141,3,508
684,211,45,525
685,191,55,562
686,152,40,611
687,127,12,681
688,80,-30,820
689,52,-61,942
690,-18,-133,1056
691,-7,-155,1185
692,-13,-174,1276
693,-47,-168,1346
694,-114,-173,1389
695,-114,-150,1375
696,-137,-93,1362
697,-112,-54,1348
698,-46,-22,1241
699,40,-36,1208
700,97,-67,1185
701,154,-13,1114
702,160,27,1017
703,128,3,917
704,87,-9,876
705,58,0,816
706,48,52,780
707,25,13,739
708,83,-61,685
709,123,-111,715
710,126,-156,735
711,114,-127,767
712,53,-131,783
713,-10,-140,823
714,-75,-108,918
715,-156,-92,1028
716,-151,-71,1104
717,-144,-83,1115
718,-104,-131,1202
719,-15,-107,1252
720,32,-97,1264
721,70,-81,1243
722,114,-54,1197
723,140,6,1132
724,161,26,1131
725,156,90,1055
726,129,75,1023
727,138,36,968
728,147,-19,1005
729,115,-42,1016
730,92,-57,997
731,34,-104,997
732,-38,-159,1019
733,-73,-151,1032
734,-96,-137,1051
735,-75,-172,1034
736,-101,-208,1044
737,-36,-188,1073
738,-2,-164,1044
739,20,-79,1020
740,22,-61,987
741,40,-34,1000
742,68,26,960
743,56,46,957
744,49,46,918
745,72,17,911
746,103,6,927
747,115,-29,968
748,114,-45,933
749,69,-48,915
750,63,-54,916
751,42,-66,971
752,36,-50,991
753,22,-101,1071
754,-18,-115,1093
755,-62,-169,1147
756,-46,-195,1239
757,-43,-185,1220
758,-47,-153,1240
759,-65,-160,1220
760,-85,-144,1191
761,-75,-106,1121
762,-70,-100,1086
763,19,-78,1044
764,61,-29,979
765,70,-27,936
766,112,19,907
767,148,54,829
768,170,76,807
769,178,57,790
770,163,55,765
771,111,5,813
772,81,-37,813
773,33,-113,863
774,3,-136,922
775,-45,-163,1023
776,-68,-164,1038
777,-88,-205,1092
778,-109,-191,1167
779,-87,-157,1140
780,-51,-137,1168
781,-35,-136,1165
782,23,-88,1161
783,41,-42,1154
784,58,-31,1160
785,69,38,1098
786,60,19,1115
787,69,37,1115
788,52,24,1120
789,55,40,1089
790,77,0,1093
791,112,-25,1077
792,140,-12,1025
793,130,-39,1029
794,147,-33,952
795,64,-81,927
796,16,-84,878
797,-26,-133,855
798,-83,-179,874
799,-105,-175,909
800,-93,-205,898
801,-127,-188,908
802,-100,-149,915
803,-69,-87,893
804,-23,-68,894
805,33,-31,859
806,85,-16,876
807,138,-25,939
808,204,11,947
809,205,-12,1029
810,203,31,1119
811,150,39,1197
812,67,46,1302
813,27,33,1353
814,-61,-1,1404
815,-84,-30,1463
816,-93,-87,1400
817,-111,-138,1360
818,-89,-157,1277
819,-60,-142,1139
820,-1,-127,1065
821,29,-97,937
822,27,-62,874
823,41,-43,830
824,26,-19,782
825,4,-31,731
826,-8,-37,698
827,49,-50,702
828,69,-61,718
829,132,-59,718
830,220,-41,721
831,178,-73,817
832,146,-5,862
833,55,-21,986
834,20,-39,1067
835,-61,-54,1147
836,-84,-83,1232
837,-73,-100,1332
838,-25,-124,1400
839,-7,-124,1400
840,36,-81,1379
841,49,-86,1326
842,60,-49,1264
843,50,-63,1238
844,47,-58,1195
845,30,-54,1199
846,52,-78,1143
847,43,-93,1114
848,50,-85,1066
849,35,-26,987
850,30,-10,880
851,0,-39,833
852,-19,-24,779
853,-6,8,761
854,0,-52,767
855,55,-47,772
856,29,-118,808
857,51,-130,863
858,65,-137,903
859,50,-161,994
860,38,-132,1038
861,23,-95,1083
862,-29,-72,1073
863,-65,-70,1093
864,-51,-54,1144
865,-21,-46,1160
866,2,-26,1188
867,41,-56,1193
868,98,-44,1203
869,91,-42,1139
870,21,-34,1168
871,26,-17,1153
872,-4,-34,1131
873,-52,-56,1137
874,-22,-38,1099
875,5,-82,1073
876,48,-80,997
877,61,-63,961
878,81,-101,922
879,121,-106,837
880,92,-97,812
881,33,-109,837
882,2,-89,893
883,-21,-123,954
884,-6,-92,986
885,-12,-106,1000
886,19,-82,1021
887,-15,-90,950
888,-55,-92,924
889,-8,-46,882
890,-2,-52,870
891,-7,-71,837
892,22,-50,799
893,-5,-48,859
894,20,-20,912
895,70,-14,923
896,76,-23,960
897,108,-32,1001
898,104,-4,1018
899,57,-43,1117
900,45,-60,1133
901,-2,-78,1180
902,1,-82,1246
903,-20,-107,1278
904,-20,-115,1309
905,-10,-130,1341
906,14,-95,1282
907,-26,-109,1225
908,-23,-87,1120
909,-41,-36,993
910,-19,-11,895
911,-13,-7,848
912,41,5,802
913,84,3,724
914,85,-16,669
915,73,-35,615
916,102,-60,569
917,40,-100,589
918,-18,-109,650
919,-44,-90,716
920,-74,-89,797
921,-62,-100,876
922,45,-78,996
923,129,-70,1088
924,142,-78,1143
925,134,-93,1216
926,72,-98,1245
927,-2,-132,1297
928,-44,-109,1296
929,-86,-119,1362
930,-89,-116,1357
931,-42,-73,1295
932,-7,-38,1264
933,76,0,1175
934,151,37,1080
935,156,48,1036
936,163,66,955
937,107,47,892
938,83,18,834
939,61,-3,847
940,12,-26,830
941,-5,-76,819
942,8,-129,824
943,75,-155,852
944,53,-162,881
945,-11,-130,892
946,-97,-167,909
947,-140,-137,911
948,-160,-122,973
949,-89,-101,1037
950,20,-98,1096
951,96,-85,1186
952,143,-48,1246
953,180,-14,1195
954,127,-15,1177
955,33,-15,1123
956,-39,0,1116
957,-97,7,1125
958,-62,43,1108
959,37,7,964
960,119,-19,955
961,184,-29,936
962,227,-8,934
963,236,-50,860
964,179,-85,827
965,91,-123,866
966,10,-160,943
967,-120,-171,1066
968,-217,-202,1132
969,-179,-177,1159
970,-146,-215,1200
971,-82,-173,1223
